ID,RANK,SEX,LENGTH,WEIGHT,GROUP,INFORMANT,TREATMENT,TIMEPOINT,ORIENT,MOVE,TOTAL,PERCENT,LEARNED,LEARN.RATE,DLG,DLV,DM1,DM3,VS,APPROACHES,APPROACH.AVG,APPROACH.DIFF,DISPLACEMENTS,DISPLACE.AVG,DISPLACE.DIFF,AGGEFF.TRIAL,AGGEFF.CUMUL,LINECROSS,LINECROSS.NORM,LINECROSS.NORM.LAST.4.AVG,LINECROSS.NORM.AVG
114,female,female,44,2.69,female13,FEMALE,INDIVIDUAL,22,0,0,0,0,NO,not,0.006790506,0.002989744,0.003265444,0.002754151,0.006234828,,,,,,,,,,,,
115,female,female,47,2.79,female14,FEMALE,INDIVIDUAL,22,1,1,1,1,YES,late,0.003183985,0.002126829,0.002602613,0.003140448,0.005739981,,,,,,,,,,,,
124,female,female,46,2.63,female5,FEMALE,INDIVIDUAL,6,1,1,1,1,YES,early,0.00899,0.005989239,0.006938812,0.003429182,0.008923429,,,,,,,,,,,,
125,male,male,58,5.45,male5,MALE,INDIVIDUAL,6,0,0,0,0,NO,not,0.00436,0.003827192,0.008923423,0.004095821,0.008839839,,,,,,,,,,,,
126,female,female,47,2.5,female6,FEMALE,INDIVIDUAL,6,0,0,0,0,NO,not,0.00367,0.004128128,0.0081921,0.004837513,0.007984193,,,,,,,,,,,,
127,female,female,49,3,female11,FEMALE,INDIVIDUAL,14,0,0,0,0,NO,not,0.008950595,0.004555454,0.005748382,0.002895564,0.0069376,,,,,,,,,,,,
128,male,male,60,5.84,male9,MALE,INDIVIDUAL,14,0,0,0,0,NO,not,0.012951324,0.005079508,0.005263589,0.002781033,0.011492977,,,,,,,,,,,,
129,female,female,52,3.31,female12,FEMALE,INDIVIDUAL,14,0,0,0,0,NO,not,0.00529,0.004731332,0.006352819,0.004062712,0.008037218,,,,,,,,,,,,
130,male,male,60,5.4,male11,MALE,INDIVIDUAL,22,1,1,1,1,YES,late,0.00889,0.00291831,0.002129531,0.002700037,0.00914535,,,,,,,,,,,,
131,male,male,62,5.85,male12,MALE,INDIVIDUAL,22,1,1,1,1,YES,late,0.0109,0.002879261,0.002034351,0.002545938,0.00483827,,,,,,,,,,,,
132,male,male,60,5.52,male13,MALE,INDIVIDUAL,22,0,0,0,0,NO,not,0.004205461,0.00324821,0.004918306,0.001958537,0.004519125,,,,,,,,,,,,
133,male,male,57,5.7,male6,MALE,INDIVIDUAL,6,0,0,0,0,NO,not,0.00402,0.003418941,0.00895361,0.00398375,0.00397361,,,,,,,,,,,,
134,male,male,57,5.75,male10,MALE,INDIVIDUAL,14,0,0,0,0,NO,not,0.004771057,0.003996418,0.006531196,0.003162514,0.008504301,,,,,,,,,,,,
135,male,male,57,5.8,male14,MALE,INDIVIDUAL,22,0,0,0,0,NO,not,0.007913008,0.004012811,0.001924728,0.003634739,0.00797316,,,,,,,,,,,,
