GROUP,INFORMANT,TREATMENT,CONTEXT,LEARN.RATE,TIMEPOINT,TRIAL,ORIENT,MOVE,SOCIAL,TOTAL,PROPORTION,PERCENT,APPROACHES,APPROACH.AVG,APPROACH.DIFF,DISPLACEMENTS,DISPLACE.AVG,DISPLACE.DIFF,AGGEFF.TRIAL,AGGEFF.TOTAL,AGGEFF.CUMUL,APPROACHED,DISPLACED,LINECROSS,LINECROSS.NORM,LINECROSS.NORM.LAST.4.AVG,LINECROSS.NORM.AVG
sub9,sub,social,group,early,fourteen,2,4,3,0,3,0.43,43,5,,,4,,,0.8,0.597222222,,,,78,9.75,,
sub9,sub,social,group,early,fourteen,3,2,3,0,3,0.43,43,7,,,4,,,0.571428571,0.597222222,,,,72,9,,
sub9,sub,social,group,early,fourteen,4,3,1,0,1,0.14,14,7,,,3,,,0.428571429,0.597222222,,,,89,11.125,,
sub9,sub,social,group,early,fourteen,5,1,1,0,1,0.14,14,0,,,0,,,0,0.597222222,,,,93,11.625,,
sub9,sub,social,group,early,fourteen,6,5,3,2,5,0.71,71,8,,,5,,,0.625,0.597222222,,,,79,9.875,10.40625,
sub9,sub,social,group,early,fourteen,7,6,3,3,6,0.86,86,7,,,5,,,0.714285714,0.597222222,,,,88,11,,
sub9,sub,social,group,early,fourteen,8,3,2,2,4,0.57,57,20,,,9,,,0.45,0.597222222,,,,95,11.875,,
sub9,sub,social,group,early,fourteen,9,3,3,1,4,0.57,57,1,,,0,,,0,0.597222222,,,,101,12.625,,
sub9,sub,social,group,early,fourteen,10,8,4,4,8,1,100,11,,,7,,,0.636363636,0.597222222,,,,113,14.125,,
sub9,sub,social,group,early,fourteen,11,4,2,4,6,0.86,86,0,,,0,,,0,0.597222222,,,,110,13.75,,
sub9,sub,social,group,early,fourteen,12,5,4,3,7,1,100,4,,,4,,,1,0.597222222,,,,118,14.75,,
sub9,sub,social,group,early,fourteen,13,2,2,0,2,0.29,29,1,,,1,,,1,0.597222222,,,,113,14.125,,
sub9,sub,social,group,early,fourteen,14,2,4,0,4,0.57,57,0,,,0,,,0,0.597222222,,,,119,14.875,,10.925
sub10,sub,social,group,early,fourteen,1,0,0,0,0,0,0,1,9.857142857,9,1,5.285714286,5,1,0.536231884,0.536231884,,,67,8.375,,
sub10,sub,social,group,early,fourteen,2,1,1,0,1,0.14,14,7,,,4,,,0.571428571,0.536231884,,,,85,10.625,,
sub10,sub,social,group,early,fourteen,3,1,1,0,1,0.14,14,9,,,5,,,0.555555556,0.536231884,,,,90,11.25,,
sub10,sub,social,group,early,fourteen,4,1,2,1,3,0.43,43,14,,,5,,,0.357142857,0.536231884,,,,98,12.25,,
